	shannon
10249.C009.19SS	5.19613641724121
10249.C009.20SD	3.9324838309968473
10249.C009.20SS	4.234507094414864
10249.C010.18SD	4.359686553135529
10249.C010.18SS	4.153386565609117
10249.C010.19SS	4.648898534496497
10249.C010.20SD	4.6248294168050865
10249.C010.20SS	4.500577493330558
10249.C011.13SD	4.767602583408976
10249.C011.17SD	3.47651248969101
10249.C011.17SS	3.131607924805026
10249.C011.19SD	4.242769976611696
10249.C011.19SS	4.11807124288766
10249.C012.19SD	3.975991260553821
10249.C012.19SS	4.1654324110608485
10249.C012.21SD	2.9582518188187628
10249.C012.21SS	3.0519813390375563
10249.C012.22SD	3.839980421946092
10249.C012.22SS	3.6176543974471493
10249.C014.16SS	4.317716694695269
10249.C014.19SD	5.076914861831595
10249.C014.19SS	5.107726651157555
10249.C014.20SD	4.988728775180002
10249.C014.20SS	4.855936126674998
10249.C016.18SS	4.723554882500363
10249.C016.21SD	4.15665190118306
10249.C016.21SS	4.936885571598998
10249.C016.22SD	5.221057531336474
10249.C016.22SS	5.354381335467743
10249.C018.11SD	4.317335141956714
10249.C018.12SD	3.7370148163273345
10249.C018.14SS	4.975793486120236
10249.C020.20SS	3.4295266511131732
10249.C020.22SD	4.628644749265049
10249.C020.22SS	4.3627461659374
10249.C020.23SD	4.695506756861254
10249.C020.23SS	4.571485619635392
10249.C020.24SD	3.834047715344875
10249.C020.24SS	3.818316959035457
10249.C020.25SD	3.8904506787814674
10249.C020.25SS	3.7885452645332434
10249.C020.26SD	5.008189078259624
10249.C020.26SS	4.758824217838865
10249.C021.12SS	4.143360141429677
10249.C022.15SS	3.0564680664689052
10249.C022.18SD	4.263777834764333
10249.C022.18SS	3.9354358223406463
10249.C024.16SS	5.154667102887922
10249.C024.17SS	4.72650242281844
10249.C024.19SD	4.259166501863007
10249.C024.19SS	4.750200029777335
10249.C024.20SD	4.8912239640476
10249.C024.20SS	4.77914726832893
10249.C025.13SD	3.629598911287022
10249.C025.14SD	4.000540680457899
10249.C025.15SS	3.8693693901277726
10249.C025.16SS	3.657134201327766
10249.C025.18SS	3.506842204410263
10249.C025.19SD	3.978721780381836
10249.C025.19SS	3.3542438205240948
10249.C027.11SD	4.469349057004122
10249.C027.12SD	4.742185282781976
10249.C027.16SS	3.290401847070221
10249.C027.17SD	4.127579092997679
10249.C027.17SS	3.993735115645079
10249.C027.19SD	4.317314195456201
10249.C027.19SS	4.166281602255532
10249.C027.20SD	4.5441469439993725
10249.C027.20SS	4.618356275108523
10249.C030.11SD	2.3201497836115768
10249.C030.14SS	3.5303701262533798
10249.C030.16SS	5.021885998727589
10249.C030.17SD	3.937792252948689
10249.C030.17SS	4.133364586588986
10249.C030.19SD	4.902021207660724
10249.C030.19SS	5.252526188301967
10249.C031.11SD	2.1286823039717606
10249.C031.14SS	3.1168455457985553
10249.C031.16SS	3.3596508171986046
10249.C031.17SD	3.5741270428288003
10249.C031.17SS	3.624541786539114
10249.C031.19SD	4.678881388180844
10249.C031.19SS	4.598194528212495
10249.C032.05SS	2.0864387850205235
10249.C032.11SD	2.5558261618581546
10249.C032.15SS	3.0949122711877184
10249.C032.16SS	3.611927654139569
10249.C032.17SS	4.5834777119139245
10249.C032.19SD	5.294801032780886
10249.C032.19SS	5.185348090299286
10249.C032.20SD	5.012791480420518
10249.C032.20SS	4.94008375230682
10249.C033.06SS	3.200601147318017
10249.C033.09SD	3.043135440101221
10249.C033.10SD	3.18383352983317
10249.C033.11SD	3.7334360014811168
10249.C033.13SS	3.6511707733121623
10249.C033.14SS	3.837457788275742
10249.C033.15SS	4.5261883412908475
10249.C033.17SD	4.372416661760126
10249.C033.17SS	4.243525809356389
10249.C033.18SD	4.92200000028675
10249.C033.18SS	4.669810011059092
10249.C034.13SS	3.2999447314989423
10249.C034.14SS	3.034383074428152
10249.C034.15SD	2.9569957149982087
10249.C034.15SS	3.3165965385735596
10249.C034.17SD	3.4375357826988506
10249.C034.17SS	3.35478046607578
10249.C035.06SD	2.49699280827697
10249.C035.07SD	2.5505153190770002
10249.C035.09SS	2.8794750270643577
10249.C035.10SS	2.7916541584056884
10249.C035.11SS	3.1933883138142702
10249.C035.12SD	3.336918102834248
10249.C035.12SS	3.138679395418843
10249.C035.13SD	3.0973666046582276
10249.C035.13SS	3.4066242636734327
10249.C035.14SD	3.6590155163341067
10249.C035.14SS	3.8593159380496287
10249.C035.15SD	4.46541849445596
10249.C035.15SS	4.201188692240474
10249.C036.05SD	2.1032822060872243
10249.C036.09SS	2.2090531237037387
10249.C036.10SS	2.2614590157550603
10249.C036.11SS	2.5288338137534643
10249.C036.12SS	2.703162316041618
10249.C036.14SD	4.490513921855826
10249.C036.14SS	4.053612365493819
10249.C037.09SS	3.908546393128919
10249.C037.10SS	2.6755364951915737
10249.C037.11SS	3.2432927941674965
10249.C037.12SD	3.7522047652801533
10249.C037.12SS	3.260553557702221
10249.C037.13SD	3.302754228361227
10249.C037.13SS	3.217643838526196
10249.C037.15SS	3.216199095023672
10249.C038.05SD	3.579444916177491
10249.C038.06SD	3.536663641508269
10249.C038.07SD	4.145966713344929
10249.C038.10SS	3.6913405807814486
10249.C038.11SS	3.8718953426049225
10249.C038.12SD	4.345235249421107
10249.C038.12SS	3.9791839692915105
10249.C038.13SD	4.153569955472064
10249.C038.13SS	4.180226110343386
10249.C038.15SD	4.331024516623857
10249.C038.15SS	4.626450676366256
10249.C038.16SD	4.817177087236405
10249.C038.16SS	5.054796559022253
10249.C041.05SD	2.8090775261730787
10249.C041.06SD	3.222579581541172
10249.C041.10SS	3.8054669026257284
10249.C041.11SS	3.7580943095278143
10249.C041.12SS	3.9622233266887714
10249.C041.13SD	3.952425972285863
10249.C041.13SS	4.2640616170698715
10249.C041.14SD	4.485208520192118
10249.C041.14SS	4.488172191673526
10249.C041.16SD	4.414182975030086
10249.C041.16SS	4.2767619062678595
10249.C041.17SD	4.688279138969833
10249.C041.17SS	4.497275441091742
10249.C042.06SD	3.770279866635657
10249.C042.09SS	3.514060180693991
10249.C042.10SS	3.9611721858336164
10249.C042.11SD	4.003554248190015
10249.C042.11SS	4.10644820524818
10249.C042.12SS	4.302337450090403
10249.C042.14SD	5.033936988731181
10249.C042.14SS	4.933405406167049
10249.C042.15SD	4.838484313072839
10249.C042.15SS	4.796910146109149
10249.C043.04SD	2.4456255090403527
10249.C043.05SD	1.943759939306296
10249.C043.08SS	2.901085713440248
10249.C043.09SS	3.063509964867404
10249.C043.10SD	3.2507643541293607
10249.C043.10SS	3.5363299857548123
10249.C043.11SD	3.2880933626316238
10249.C043.11SS	2.9883497046675815
10249.C043.12SD	2.9385235331549415
10249.C043.12SS	3.026669010200127
10249.C043.15SD	4.07588813601659
10249.C043.15SS	3.7871304090904467
10249.C044.09SS	3.60929300788617
10249.C044.10SS	3.390593333528506
10249.C044.11SS	3.339243501910416
10249.C044.12SD	4.139935939934989
10249.C044.12SS	3.9214163041709202
10249.C044.13SD	4.432643872872816
10249.C044.13SS	4.385559747496462
10249.C044.15SD	4.150040598819821
10249.C044.15SS	4.449560509738888
10249.C045.02SS	2.385491534892633
10249.C045.03SS	1.9930093990872513
10249.C045.04SS	1.807428594809926
10249.C045.05SD	2.2570871085965636
10249.C045.05SS	2.397501684785068
10249.C045.06SS	3.210057011127455
10249.C045.08SD	2.9834115016961134
10249.C045.08SS	3.8518700777609114
10249.C045.09SD	2.9481046405499325
10249.C045.09SS	3.6181704404836195
10249.C045.10SD	3.968449480834638
10249.C045.10SS	4.064435748814104
10249.C046.03SS	1.9536005762480593
10249.C046.04SS	2.924200738007975
10249.C046.05SS	2.804385160434459
10249.C046.06SD	3.595789678387274
10249.C046.06SS	3.722553202797528
10249.C046.07SD	4.107699790672415
10249.C046.07SS	4.16241146803874
10249.C046.09SD	4.659781914014048
10249.C046.09SS	4.404491302112845
10249.C046.10SD	3.930579872440716
10249.C046.10SS	3.7507398395340092
10249.C046.11SD	3.715919507334598
10249.C046.11SS	2.903982679646596
10249.C047.02SD	1.3302398071686794
10249.C047.02SS	1.286371002217736
10249.C047.06SD	3.0879811524167873
10249.C047.06SS	3.142013839012808
10249.C047.07SD	3.7984985691846394
10249.C047.07SS	3.3055930858626406
10249.C047.08SD	3.154120328448369
10249.C047.08SS	2.993677984736699
10249.C049.01SS	0.10083073102790498
10249.C049.02SD	0.33129536631557016
10249.C049.02SS	0.09598224278955564
10249.C049.03SD	1.7490116886536586
10249.C049.03SS	1.4954588765836165
10249.C049.07SD	1.363269361399342
10249.C049.07SS	1.9141504383328587
10249.C049.08SD	0.9978514674282312
10249.C049.08SS	1.591819072376781
10249.C049.09SD	3.3663797381136193
10249.C049.09SS	3.445936897683082
10249.C052.03SD	1.2172520337700672
10249.C052.03SS	1.152512877419262
10249.C052.04SD	2.01792561049284
10249.C052.04SS	1.3801405174270651
10249.C052.05SD	2.232230507098171
10249.C053.02SD	2.367754343318055
10249.C053.02SS	2.2665572712617608
10249.C053.03SD	2.1093730967291004
10249.C053.03SS	1.5507090751452688
10249.C053.04SD	2.834491249972251
10249.C053.04SS	2.193389105552963
10249.C053.05SD	3.627881815726115
10249.C053.05SS	3.3014135033931407
10249.C055.02SD	2.8317949896048082
10249.C055.02SS	3.0315766978294256
10249.C055.03SD	3.616921314294657
10249.C055.03SS	2.569437901351039
10249.C055.04SD	3.2545950448766794
10249.C055.04SS	2.7657859803684173
10249.C055.05SD	3.038499524898973
10249.C055.05SS	3.0865538289112626
10249.C056.01SS	5.090112275013761
10249.C056.02SS	3.8840917035547027
10249.C056.03SD	3.5548139786978545
10249.C056.03SS	3.278453758181763
10249.C056.04SD	3.308594232048912
10249.C056.04SS	3.1208373275411607
10249.C056.05SD	3.2706121159190076
10249.C056.05SS	2.8179524467255948
10249.C057.03SD	2.065890301906541
10249.C057.03SS	2.227475160097979
10249.C057.04SD	2.7698347314227107
10249.C057.04SS	2.9333295521739666
10249.C057.05SD	2.725015425751215
10249.C057.05SS	2.5100974047427878
10249.C001.01SS	1.9925012993283426
10249.C001.35SS	4.6397379251054645
10249.C002.01SS	1.6392927112115216
10249.C002.20SS	4.1077950810270325
10249.C005.01SS	1.7276813916165321
10249.C005.20SS	4.18606668903414
10249.C005.22SS	4.205305820912769
10249.C007.01SS	2.7570349351988974
10249.C007.14SS	2.220759247455894
10249.C007.21SS	4.9142673834702135
10249.C007.26SS	5.437450017629022
10249.C008.03SS	2.299597295733802
10249.C008.15SS	4.476579819690975
10249.C008.18SS	5.132175153402218
10249.C009.01SS	2.9323551262268133
10249.C009.16SS	4.734295003696864
10249.C009.21SS	4.486927620455506
10249.C010.01SS	2.3050035968105753
10249.C010.13SS	4.150833681351363
10249.C010.21SS	4.888178011809059
10249.C011.01SS	4.621978501158847
10249.C011.16SS	4.1815703392736365
10249.C011.18SS	3.53702245830843
10249.C011.20SS	4.5209094171766395
10249.C011.21SS	4.747823720319005
10249.C012.01SS	2.5113179626869497
10249.C012.18SS	4.679551068520873
10249.C012.20SS	3.7512725377009
10249.C014.01SS	1.6967699992386547
10249.C014.17SS	3.9784600981892932
10249.C014.18SS	4.192173041085735
10249.C014.21SS	5.179734387050105
10249.C014.22SS	4.133724353201279
10249.C016.01SS	2.553166595293642
10249.C016.02SS	1.459949493973914
10249.C016.19SS	4.67397084660964
10249.C016.20SS	3.9424809219036825
10249.C016.23SS	5.298688907646851
10249.C016.24SS	5.772391847346005
10249.C017.01SS	2.0867177508805583
10249.C018.01SS	1.696503225035822
10249.C018.15SS	5.2073097709073375
10249.C018.16SS	5.040574008241828
10249.C018.17SS	4.353102274622342
10249.C018.18SS	4.914432296119972
10249.C018.19SS	5.043086589701668
10249.C020.01SS	2.4328527092508154
10249.C020.06SS	1.460149725979112
10249.C020.21SS	4.6093221514718525
10249.C020.28SS	4.699401716184328
10249.C020.29SS	5.165520501986188
10249.C021.01SS	2.126384165210034
10249.C021.13SS	4.410771352613775
10249.C022.01SS	2.3377070728326257
10249.C022.16SS	4.304837920892119
10249.C022.19SS	4.302123970911777
10249.C022.20SS	4.612956396560994
10249.C022.21SS	4.723421472307376
10249.C023.01SS	2.579963847841057
10249.C024.01SS	2.239634760512998
10249.C024.18SS	4.9119659795702795
10249.C024.21SS	5.030172772233569
10249.C024.22SS	5.040351206556213
10249.C025.01SS	4.118840842195082
10249.C025.17SS	3.2874520384698918
10249.C025.20SS	2.4906227772253904
10249.C025.21SS	2.939508637614687
10249.C027.01SS	1.0744149914562298
10249.C027.18SS	4.503308615357849
10249.C027.21SS	4.873204246213187
10249.C027.22SS	4.667915700940822
10249.C030.01SS	3.2763661732713962
10249.C030.18SS	4.837077534258141
10249.C030.20SS	5.4553898568442065
10249.C031.01SS	1.3724305537404562
10249.C031.09SS	2.4869299336378443
10249.C031.18SS	3.9524313509650004
10249.C031.20SS	4.632159472222671
10249.C031.21SS	5.402386499336551
10249.C032.01SS	2.1289432087168354
10249.C032.09SS	1.9628390592176634
10249.C032.21SS	6.001328725067852
10249.C032.22SS	5.936731401211038
10249.C033.01SS	1.5853848633979484
10249.C033.16SS	4.638151787151749
10249.C033.19SS	4.684339841620382
10249.C034.01SS	1.556069283268794
10249.C034.16SS	3.7978049706758337
10249.C035.01SS	1.2556531238923672
10249.C035.05SS	2.8027093655966797
10249.C035.16SS	3.4651670766125817
10249.C035.17SS	4.054199114526963
10249.C036.01SS	1.1943709035995842
10249.C036.13SS	3.632599856773332
10249.C036.15SS	3.951814296694938
10249.C036.16SS	4.277272719987838
10249.C037.01SS	1.5446624491982706
10249.C037.05SS	3.4529922656907517
10249.C037.14SS	3.8597255044456404
10249.C037.16SS	3.500654696324476
10249.C037.17SS	4.14515812325828
10249.C037.18SS	3.9313150523784555
10249.C038.01SS	0.0440940587594734
10249.C038.14SS	4.303394463599279
10249.C038.18SS	4.795559364747962
10249.C041.01SS	1.4766407873563556
10249.C041.04SS	2.4971844919059176
10249.C041.18SS	5.777932671315936
10249.C041.19SS	5.782260903091182
10249.C042.01SS	1.1385237573723308
10249.C042.04SS	3.7961380911775002
10249.C042.13SS	4.609614238186882
10249.C042.16SS	3.891814246490673
10249.C042.17SS	5.484655136348353
10249.C043.01SS	1.7989483206334498
10249.C043.14SS	3.917395350409362
10249.C043.16SS	3.8630041068046603
10249.C043.17SS	4.436417340706175
10249.C043.18SS	3.759477340878173
10249.C043.20SS	5.19401737469908
10249.C044.01SS	1.003566334053625
10249.C044.16SS	4.320705936167874
10249.C044.17SS	4.734226756554242
10249.C045.11SS	4.4235619164340685
10249.C045.12SS	4.034056374382326
10249.C045.13SS	4.645311539428495
10249.C046.08SS	3.667458795063004
10249.C046.12SS	3.6353490929507957
10249.C046.13SS	2.1964637975178243
10249.C046.14SS	2.8218632662699568
10249.C047.05SS	1.6142498197671706
10249.C047.09SS	3.651699532162411
10249.C047.10SS	3.7824149912075136
10249.C047.11SS	3.7231119329447018
10249.C047.13SS	3.4630476508021917
10249.C049.04SS	2.095360960088599
10249.C049.10SS	3.281982525653111
10249.C049.11SS	3.462448636672717
10249.C049.12SS	3.376820740518234
10249.C049.13SS	3.8328606868746893
10249.C049.14SS	3.8901285915699564
10249.C052.02SS	0.020105463645276985
10249.C052.06SS	2.304622257085811
10249.C052.07SS	1.8199037615149534
10249.C052.08SS	2.159541487379024
10249.C052.09SS	2.8366559381771954
10249.C053.06SS	3.439646613133609
10249.C053.07SS	2.7619672949799705
10249.C053.08SS	3.5611677302444598
10249.C053.09SS	2.6473551781929383
10249.C055.01SS	6.978478071848532
10249.C055.06SS	3.459768671451229
10249.C055.07SS	3.0456939700001677
10249.C055.08SS	1.9970068447598093
10249.C055.09SS	3.7579464755178966
10249.C056.06SS	3.200839930279089
10249.C056.07SS	3.1289467919220297
10249.C056.08SS	3.8640949480343045
10249.C056.09SS	3.6373071336910594
10249.C056.10SS	3.690527175866412
10249.C057.02SS	2.2282382888140737
10249.C057.06SS	2.34333411266533
10249.C057.08SS	2.518449166555269
10249.C057.09SS	2.4859267398804628
10249.C057.10SS	2.519125734316139
10249.C057.11SS	3.749882034066896
